key,形状,H,A,B,t,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy
軽溝形鋼-150x75x75x4.5,軽溝形鋼,150,75,75,4.5,12.83,10.1,448,71.4,5.91,2.36,59.8,13.2
軽溝形鋼-150x75x75x4,軽溝形鋼,150,75,75,4,11.47,9,404,64.2,5.93,2.36,53.9,11.8
軽溝形鋼-150x50x50x4.5,軽溝形鋼,150,50,50,4.5,10.58,8.31,329,22.8,5.58,1.47,43.9,5.99
軽溝形鋼-150x50x50x3.2,軽溝形鋼,150,50,50,3.2,7.663,6.02,244,16.9,5.64,1.48,32.5,4.37
軽溝形鋼-150x50x50x2.3,軽溝形鋼,150,50,50,2.3,5.576,4.38,181,12.5,5.69,1.5,24.1,3.2
軽溝形鋼-120x40x40x3.2,軽溝形鋼,120,40,40,3.2,6.063,4.76,122,8.43,4.48,1.18,20.3,2.75
軽溝形鋼-100x50x50x3.2,軽溝形鋼,100,50,50,3.2,6.063,4.76,93.6,14.9,3.93,1.57,18.7,4.15
軽溝形鋼-100x50x50x2.3,軽溝形鋼,100,50,50,2.3,4.426,3.47,69.9,11.1,3.97,1.58,14,3.04
軽溝形鋼-100x40x40x3.2,軽溝形鋼,100,40,40,3.2,5.423,4.26,78.6,7.99,3.81,1.21,15.7,2.69
軽溝形鋼-100x40x40x2.3,軽溝形鋼,100,40,40,2.3,3.966,3.11,58.9,5.96,3.85,1.23,11.8,1.98
軽溝形鋼-80x40x40x2.3,軽溝形鋼,80,40,40,2.3,3.506,2.75,34.9,5.56,3.16,1.26,8.73,1.92
