key,Con,型番,t,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,3.3(R),3.4(R),3.5(R),3.6(R)
QL99-75-12_Fc21t70,Fc21,QL99-75-12,70,,,,,,,,14840,14270,13520,12390,11370,10450,9610,8860,8200,7570,6990,6470,5980,5530,,,,,,
QL99-75-12_Fc21t80,Fc21,QL99-75-12,80,,,,,,,,15870,15260,14700,13970,12830,11790,10860,10040,9270,8570,7920,7330,6790,,,,,,,
QL99-75-12_Fc21t90,Fc21,QL99-75-12,90,,,,,,,,16940,16280,15680,15120,14290,13140,12110,11200,10350,9570,8850,8200,,,,,,,,
QL99-75-12_Fc21t100,Fc21,QL99-75-12,100,,,,,,,,17930,17240,16600,16010,15460,14490,13390,12360,11420,10570,9780,9070,,,,,,,,
QL99-75-16_Fc21t60,Fc21,QL99-75-16,60,,,,,,,,17230,15930,14770,13740,12810,11970,11210,10520,9890,9310,8660,8050,7520,7000,6520,6080,,,,
QL99-75-16_Fc21t70,Fc21,QL99-75-16,70,,,,,,,,19580,18100,16780,15610,14550,13590,12730,11950,11230,10520,9770,9120,8490,7910,7370,6870,,,,
QL99-75-16_Fc21t80,Fc21,QL99-75-16,80,,,,,,,,21010,20210,18980,17650,16450,15380,14400,13510,12710,11800,11000,10240,9530,8890,8290,7730,,,,
QL99-75-16_Fc21t90,Fc21,QL99-75-16,90,,,,,,,,22290,21430,20640,19830,18480,17270,16170,15180,14080,13080,12200,11360,10580,9870,9210,8600,,,,
QL99-75-16_Fc21t100,Fc21,QL99-75-16,100,,,,,,,,23720,22800,21960,21180,20450,19280,18050,16870,15660,14590,13570,12640,11790,11000,10270,9600,,,,
QL99-75-16G（連続支持）_軽量t85,軽量,QL99-75-16G（連続支持）,85,,,,,,,20000,20000,20000,20000,18690,17430,16280,15250,14310,13460,12680,11960,11310,,,,,,,,
QL99-75-16G（連続支持）_軽量t90,軽量,QL99-75-16G（連続支持）,90,,,,,,,20000,20000,20000,20000,19780,18440,17230,16140,15140,14240,13410,12660,11960,,,,,,,,
QL99-75-16G（連続支持）_軽量t95,軽量,QL99-75-16G（連続支持）,95,,,,,,,20000,20000,20000,20000,20000,19540,18250,17100,16040,15090,14210,13410,12680,,,,,,,,
QL99-75-16G（連続支持）_軽量t100,軽量,QL99-75-16G（連続支持）,100,,,,,,,19910,19910,19910,19910,19910,19910,19280,18050,16940,15930,14860,13860,12950,,,,,,,,
