key,断面,鋼種,lb,幅厚比柱,幅厚比梁,Zxe,Zye,Ae
H-404x201x9x15x13-SN400,H-404x201x9x15x13,SN400,4.24,FA,FA,1350,202,95.41
H-404x201x9x15x13-SN490,H-404x201x9x15x13,SN490,3.07,FD,FA,1350,202,95.41
H-446x199x8x12x13-SN400,H-446x199x8x12x13,SN400,3.04,FD,FA,1260,159,81.98
H-446x199x8x12x13-SN490,H-446x199x8x12x13,SN490,2.2,FD,FB,1260,159,77.38
H-450x200x9x14x13-SN400,H-450x200x9x14x13,SN400,3.53,FC,FA,1460,187,95.43
H-450x200x9x14x13-SN490,H-450x200x9x14x13,SN490,2.56,FD,FA,1460,187,92.81
H-456x201x10x17x13-SN400,H-456x201x10x17x13,SN400,4.26,FA,FA,1750,229,112
H-456x201x10x17x13-SN490,H-456x201x10x17x13,SN490,3.08,FD,FA,1750,229,112
H-496x199x9x14x13-SN400,H-496x199x9x14x13,SN400,3.19,FD,FA,1650,185,98.35
H-496x199x9x14x13-SN490,H-496x199x9x14x13,SN490,2.31,FD,FB,1650,185,92.53
H-500x200x10x16x13-SN400,H-500x200x10x16x13,SN400,3.64,FC,FA,1870,214,112.3
H-500x200x10x16x13-SN490,H-500x200x10x16x13,SN490,2.63,FD,FA,1870,214,108.8
H-506x201x11x19x13-SN400,H-506x201x11x19x13,SN400,4.29,FA,FA,2190,257,129.3
H-506x201x11x19x13-SN490,H-506x201x11x19x13,SN490,3.1,FD,FA,2190,257,129.3
H-596x199x10x15x13-SN400,H-596x199x10x15x13,SN400,2.85,FD,FA,2240,199,111.7
H-596x199x10x15x13-SN490,H-596x199x10x15x13,SN490,2.06,FD,FC,2240,199,104.5
H-600x200x11x17x13-SN400,H-600x200x11x17x13,SN400,3.22,FD,FA,2520,227,130.3
H-600x200x11x17x13-SN490,H-600x200x11x17x13,SN490,2.33,FD,FB,2520,227,121.6
H-606x201x12x20x13-SN400,H-606x201x12x20x13,SN400,3.77,FC,FA,2910,270,149.8
