*,type,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2,lb(SN400),柱(SN400),梁(SN400),Zxe(SN400),Zye(SN400),Ae(SN400),lb(SN490),柱(SN490),梁(SN490),Zxe(SN490),Zye(SN490),Ae(SN490),lb(HBL-H355),柱(HBL-H355),梁(HBL-H355),Zxe(HBL-H355),Zye(HBL-H355),Ae(HBL-H355)
_,SH,650×200,SH-650x200x12x22x13,650,200,12,22,13,162.2,127,110000,2940,26.1,4.26,3400,294,5.16,7.63,3910,463,12,22,3.85,FD,FA,3400,294,161.6,2.78,FD,FA,3400,294,151.3,,,,,,
_,SH,650×200,SH-650x200x12x25x13,650,200,12,25,13,173.5,136,121000,3340,26.4,4.39,3710,334,5.24,6.81,4250,523,12,25,4.37,FD,FA,3710,334,173.5,3.16,FD,FA,3710,334,163.3,,,,,,
_,SH,650×200,SH-650x200x12x28x13,650,200,12,28,13,184.7,145,131000,3740,26.6,4.5,4020,374,5.31,6.16,4580,583,12,28,4.89,FD,FA,4020,374,184.7,3.54,FD,FA,4020,374,175.3,,,,,,
_,SH,650×250,SH-650x250x9x16x13,650,250,9,16,13,137.1,108,99500,4170,26.9,5.52,3060,334,6.52,10.6,3440,514,9,16,3.5,FD,FC,3060,334,122.6,2.53,FD,FD,3060,334,116.8,,,,,,
_,SH,650×250,SH-650x250x12x16x13,650,250,12,16,13,155.6,122,105000,4180,26,5.18,3240,334,6.34,10.3,3730,524,12,16,3.5,FD,FA,3240,334,153.6,2.53,FD,FB,3240,334,143.3,,,,,,
_,SH,650×250,SH-650x250x12x19x13,650,250,12,19,13,169.9,133,119000,4960,26.4,5.4,3660,397,6.48,8.87,4160,617,12,19,4.15,FD,FA,3660,397,168.6,3,FD,FA,3660,397,158.3,,,,,,
_,SH,650×250,SH-650x250x12x22x13,650,250,12,22,13,184.2,145,132000,5740,26.8,5.58,4060,459,6.59,7.78,4600,711,12,22,4.81,FD,FA,4060,459,183.6,3.48,FD,FA,4060,459,173.3,3.18,FD,FB,4060,459,170.7
_,SH,650×250,SH-650x250x12x25x13,650,250,12,25,13,198.5,156,145000,6520,27,5.73,4460,522,6.67,6.94,5030,804,12,25,5.46,FD,FA,4460,522,198.5,3.95,FD,FA,4460,522,188.3,,,,,,
_,SH,650×250,SH-650x250x12x28x13,650,250,12,28,13,212.7,167,158000,7300,27.2,5.86,4850,584,6.74,6.26,5460,898,12,28,6.12,FD,FA,4850,584,212.7,4.42,FD,FA,4850,584,203.3,,,,,,
*,SH,650×250,SH-650x250x14x19x13,650,250,14,19,13,182.1,143,123000,4960,26,5.22,3770,397,6.39,8.74,4350,625,14,19,4.15,FB,FA,3770,397,182.1,3,FD,FA,3770,397,180,,,,,,
_,SH,650×250,SH-650x250x14x22x13,650,250,14,22,13,196.3,154,136000,5740,26.3,5.41,4180,460,6.5,7.68,4780,719,14,22,4.81,FB,FA,4180,460,196.3,3.48,FD,FA,4180,460,195,3.18,FD,FA,4180,460,191.5
_,SH,650×250,SH-650x250x14x25x13,650,250,14,25,13,210.5,165,149000,6530,26.6,5.57,4570,522,6.6,6.86,5210,812,14,25,5.46,FA,FA,4570,522,210.5,3.95,FD,FA,4570,522,210,3.62,FD,FA,4570,255,206.5
*,SH,650×250,SH-650x250x14x28x13,650,250,14,28,13,224.6,176,161000,7310,26.8,5.7,4960,585,6.67,6.19,5630,906,14,28,6.12,FA,FA,4960,585,224.6,4.42,FD,FA,4960,585,224.6,,,,,,
_,SH,650×250,SH-650x250x16x22x13,650,250,16,22,13,208.4,164,139000,5750,25.9,5.25,4290,460,6.42,7.59,4970,728,16,22,4.81,FA,FA,4290,460,208.4,3.48,FB,FA,4290,460,208.4,3.18,FC,FA,4290,460,208.4
_,SH,650×250,SH-650x250x16x25x13,650,250,16,25,13,222.5,175,152000,6530,26.2,5.42,4680,523,6.52,6.79,5390,821,16,25,5.46,FA,FA,4680,523,222.5,3.95,FB,FA,4680,523,222.5,3.62,FC,FA,4680,523,222.5
_,SH,650×250,SH-650x250x16x28x13,650,250,16,28,13,236.5,186,165000,7310,26.4,5.56,5070,585,6.61,6.14,5810,915,16,28,6.12,FA,FA,5070,585,236.5,4.42,FB,FA,5070,585,236.5,4.05,FC,FA,5070,585,236.5
_,SH,650×250,SH-650x250x16x32x13,650,250,16,32,13,255.2,200,181000,8360,26.6,5.72,5570,668,6.7,5.44,6360,1040,16,32,6.99,FA,FA,5570,668,255.2,5.06,FB,FA,5570,668,255.2,,,,,,
_,SH,650×300,SH-650x300x12x16x13,650,300,12,16,13,171.6,135,121000,7210,26.6,6.48,3740,481,7.76,10.5,4230,744,12,16,4.2,FD,FB,3740,481,169.6,3.03,FD,FC,3740,481,159.3,,,,,,
_,SH,650×300,SH-650x300x12x19x13,650,300,12,19,13,188.9,148,138000,8560,27,6.73,4240,571,7.9,9.01,4760,878,12,19,4.98,FD,FA,4240,571,187.6,3.6,FD,FB,4240,571,177.3,,,,,,
_,SH,650×300,SH-650x300x12x22x13,650,300,12,22,13,206.2,162,154000,9910,27.3,6.93,4730,661,8.01,7.89,5290,1010,12,22,5.77,FD,FA,4730,661,205.6,4.17,FD,FA,4730,661,195.3,3.82,FD,FB,4730,661,192.7
_,SH,650×300,SH-650x300x12x25x13,650,300,12,25,13,223.5,175,169000,11300,27.5,7.1,5210,751,8.1,7.02,5810,1150,12,25,6.55,FD,FA,5210,751,223.5,4.74,FD,FA,5210,751,213.3,,,,,,
*,SH,650×300,SH-650x300x14x19x13,650,300,14,19,13,201.1,158,142000,8570,26.5,6.53,4360,571,7.8,8.9,4950,886,14,19,4.98,FB,FA,4360,571,2011,3.6,FD,FB,4360,571,199,,,,,,
*,SH,650×300,SH-650x300x14x22x13,650,300,14,22,13,218.3,171,157000,9920,26.9,6.74,4850,661,7.93,7.81,5470,1020,14,22,5.77,FB,FA,4850,661,218.3,4.17,FD,FA,4850,661,217,3.82,FD,FA,4850,661,213.5
*,SH,650×300,SH-650x300x14x25x13,650,300,14,25,13,235.5,185,173000,11300,27.1,6.92,5320,751,8.02,6.95,5990,1160,14,25,6.55,FA,FA,5320,751,235.5,4.74,FD,FA,5320,751,235,4.34,FD,FA,5320,751,231.5
_,SH,650×300,SH-650x300x14x28x13,650,300,14,28,13,252.6,198,188000,12600,27.3,7.07,5790,841,8.1,6.27,6500,1290,14,28,7.34,FA,FA,5790,841,252.6,5.31,FD,FA,5790,841,252.6,,,,,,
_,SH,650×300,SH-650x300x16x22x13,650,300,16,22,13,230.4,181,161000,9920,26.4,6.56,4960,661,7.84,7.72,5660,1030,16,22,5.77,FA,FA,4960,661,230.4,4.17,FB,FA,4960,661,230.4,3.82,FC,FA,4960,661,230.4
_,SH,650×300,SH-650x300x16x25x13,650,300,16,25,13,247.5,194,177000,11300,26.7,6.75,5440,751,7.95,6.89,6170,1160,16,25,6.55,FA,FA,5440,751,247.5,4.74,FB,FA,5440,751,247.5,4.34,FC,FA,5440,751,247.5
_,SH,650×300,SH-650x300x16x28x13,650,300,16,28,13,264.5,208,192000,12600,26.9,6.91,5900,841,8.04,6.22,6680,1300,16,28,7.34,FA,FA,5900,841,264.5,5.31,FB,FA,5900,841,264.5,4.86,FC,FA,5900,841,264.5
_,SH,650×300,SH-650x300x16x32x13,650,300,16,32,13,287.2,225,212000,14400,27.1,7.09,6510,961,8.13,5.51,7350,1480,16,32,8.39,FA,FA,6510,961,287.2,6.07,FB,FA,6510,961,287.2,,,,,,
_,SH,700×200,SH-700x200x9x12x18,700,200,9,12,18,111.6,87.6,83100,1610,27.3,3.79,2370,161,4.8,14,2770,256,9,12,1.95,FD,FD,2370,161,92.86,1.41,FD,FD,2370,161,87.04,,,,,,
_,SH,700×200,SH-700x200x9x16x18,700,200,9,16,18,126.9,99.6,100000,2140,28.1,4.11,2860,214,5.02,11,3280,336,9,16,2.6,FD,FD,2860,214,108.9,1.88,FD,FD,2860,214,103,,,,,,
_,SH,700×200,SH-700x200x9x19x18,700,200,9,19,18,138.4,109,113000,2540,28.6,4.28,3220,254,5.13,9.45,3660,396,9,19,3.08,FD,FD,3220,254,120.9,2.23,FD,FD,3220,254,115,,,,,,
_,SH,700×200,SH-700x200x9x22x18,700,200,9,22,18,149.8,118,125000,2940,28.9,4.43,3580,294,5.22,8.3,4040,456,9,22,3.57,FD,FD,3580,294,132.9,2.58,FD,FD,3580,294,127,,,,,,
_,SH,700×200,SH-700x200x12x16x18,700,200,12,16,18,146.9,115,108000,2150,27.1,3.82,3080,215,4.85,10.6,3620,347,12,16,2.6,FD,FA,3080,215,140.1,1.88,FD,FC,3080,215,129.8,,,,,,
_,SH,700×200,SH-700x200x12x19x18,700,200,12,19,18,158.2,124,120000,2550,27.6,4.01,3430,255,4.98,9.18,3990,407,12,19,3.08,FD,FA,3430,255,152.1,2.23,FD,FB,3430,255,141.8,,,,,,
_,SH,700×200,SH-700x200x12x22x18,700,200,12,22,18,169.5,133,132000,2950,27.9,4.17,3780,295,5.09,8.1,4360,466,12,22,3.57,FD,FA,3780,295,164.1,2.58,FD,FB,3780,295,153.8,,,,,,
_,SH,700×200,SH-700x200x12x25x18,700,200,12,25,18,180.8,142,144000,3350,28.3,4.3,4120,335,5.17,7.24,4730,526,12,25,4.06,FD,FA,4120,335,176.1,2.93,FD,FB,4120,335,165.8,,,,,,
_,SH,700×200,SH-700x200x12x28x18,700,200,12,28,18,192.1,151,156000,3750,28.5,4.42,4460,375,5.24,6.55,5100,586,12,28,4.54,FD,FA,4460,375,188.1,3.29,FD,FB,4460,375,177.8,,,,,,
_,SH,700×250,SH-700x250x9x16x18,700,250,9,16,18,142.9,112,119000,4170,28.9,5.4,3400,334,6.43,11.3,3830,516,9,16,3.25,FD,FD,3400,334,124.9,2.35,FD,FD,3400,334,119,,,,,,
_,SH,700×250,SH-700x250x9x19x18,700,250,9,19,18,157.4,124,135000,4950,29.3,5.61,3850,396,6.55,9.65,4310,610,9,19,3.85,FD,FD,3850,396,139.9,2.79,FD,FD,3850,396,134,,,,,,
_,SH,700×250,SH-700x250x12x16x18,700,250,12,16,18,162.9,128,126000,4180,27.9,5.06,3610,334,6.25,10.9,4170,527,12,16,3.25,FD,FA,3610,334,156.1,2.35,FD,FC,3610,334,145.8,,,,,,
_,SH,700×250,SH-700x250x12x19x18,700,250,12,19,18,177.2,139,142000,4960,28.3,5.29,4060,397,6.39,9.42,4640,620,12,19,3.85,FD,FA,4060,397,171.1,2.79,FD,FB,4060,397,160.8,,,,,,
_,SH,700×250,SH-700x250x12x22x18,700,250,12,22,18,191.5,150,158000,5740,28.7,5.48,4500,459,6.51,8.28,5110,714,12,22,4.46,FD,FA,4500,459,186.1,3.23,FD,FB,4500,459,175.8,2.95,FD,FC,4500,459,173.3
_,SH,700×250,SH-700x250x12x25x18,700,250,12,25,18,205.8,162,173000,6520,29,5.63,4940,522,6.6,7.39,5580,807,12,25,5.07,FD,FA,4940,522,201.1,3.67,FD,FB,4940,522,190.8,3.36,FD,FC,4900,522,188.3
_,SH,700×250,SH-700x250x14x19x18,700,250,14,19,18,190.5,150,147000,4970,27.8,5.11,4200,397,6.29,9.27,4860,629,14,19,3.85,FC,FA,4200,397,190.5,2.79,FD,FA,4200,397,182.7,,,,,,
_,SH,700×250,SH-700x250x14x22x18,700,250,14,22,18,204.6,161,162000,5750,28.2,5.3,4640,460,6.42,8.17,5330,723,14,22,4.46,FC,FA,4640,460,204.6,3.23,FD,FA,4640,460,197.7,2.95,FD,FA,4640,460,194.3
_,SH,700×250,SH-700x250x14x25x18,700,250,14,25,18,218.8,172,177000,6530,28.5,5.46,5070,522,6.52,7.3,5790,816,14,25,5.07,FC,FA,5070,522,218.8,3.67,FD,FA,5070,522,212.7,3.36,FD,FA,5070,522,209.3
_,SH,700×250,SH-700x250x14x28x18,700,250,14,28,18,232.9,183,192000,7310,28.7,5.6,5490,585,6.6,6.6,6240,910,14,28,5.68,FC,FA,5490,585,232.9,4.11,FD,FA,5490,585,227.7,,,,,,
_,SH,700×300,SH-700x300x12x19x18,700,300,12,19,18,196.2,154,164000,8560,28.9,6.61,4690,571,7.81,9.59,5290,882,12,19,4.63,FD,FA,4690,571,190.1,3.34,FD,FB,4690,571,179.8,,,,,,
_,SH,700×300,SH-700x300x12x22x18,700,300,12,22,18,213.5,168,183000,9910,29.3,6.81,5230,661,7.93,8.41,5860,1020,12,22,5.36,FD,FA,5230,661,208.1,3.87,FD,FB,5230,661,197.8,3.55,FD,FC,5230,661,195.3
_,SH,700×300,SH-700x300x12x25x18,700,300,12,25,18,230.8,181,201000,11300,29.5,6.99,5750,751,8.02,7.49,6420,1150,12,25,6.09,FD,FA,5750,751,226.1,4.4,FD,FB,5750,751,215.8,4.03,FD,FC,5750,751,213.3
_,SH,700×300,SH-700x300x12x28x18,700,300,12,28,18,248.1,195,219000,12600,29.7,7.13,6270,841,8.1,6.75,6980,1290,12,28,6.82,FD,FA,6270,841,244.1,4.93,FD,FB,6270,841,233.8,,,,,,
_,SH,700×300,SH-700x300x14x19x18,700,300,14,19,18,209.5,164,169000,8570,28.4,6.4,4830,571,7.71,9.46,5510,891,14,19,4.63,FC,FA,4830,571,209.5,3.34,FD,FB,4830,571,201.7,,,,,,
_,SH,700×300,SH-700x300x14x22x18,700,300,14,22,18,226.6,178,188000,9920,28.8,6.62,5360,661,7.84,8.31,6070,1030,14,22,5.36,FC,FA,5360,661,226.6,3.87,FD,FA,5360,661,219.7,3.55,FD,FA,5360,661,216.3
_,SH,700×300,SH-700x300x14x25x18,700,300,14,25,18,243.8,191,206000,11300,29.1,6.8,5880,751,7.94,7.41,6630,1160,14,25,6.09,FC,FA,5880,751,243.8,4.4,FD,FA,5880,751,237.7,4.03,FD,FA,5880,751,234.3
_,SH,700×300,SH-700x300x14x28x18,700,300,14,28,18,260.9,205,224000,12600,29.3,6.95,6390,841,8.03,6.69,7180,1290,14,28,6.82,FC,FA,6390,841,260.9,4.93,FD,FA,6390,841,255.7,4.51,FD,FA,6390,841,252.3
_,SH,700×300,SH-700x300x14x32x18,700,300,14,32,18,283.8,223,247000,14400,29.5,7.13,7060,961,8.12,5.92,7920,1470,14,32,7.79,FC,FA,7060,961,283.8,5.63,FD,FA,7060,961,279.7,,,,,,
_,SH,700×300,SH-700x300x16x22x18,700,300,16,22,18,239.7,188,192000,9930,28.3,6.43,5490,662,7.75,8.22,6290,1040,16,22,5.36,FA,FA,5490,662,239.7,3.87,FD,FA,5490,662,239.7,3.55,FD,FA,5490,662,239.7
_,SH,700×300,SH-700x300x16x25x18,700,300,16,25,18,256.8,202,210000,11300,28.6,6.63,6010,752,7.86,7.34,6840,1170,16,25,6.09,FA,FA,6010,752,256.8,4.4,FC,FA,6010,752,256.8,4.03,FD,FA,6010,752,256.8
_,SH,700×300,SH-700x300x16x28x18,700,300,16,28,18,273.8,215,228000,12600,28.9,6.79,6520,842,7.96,6.63,7390,1300,16,28,6.82,FA,FA,6520,842,273.8,4.93,FC,FA,6520,842,273.8,4.51,FD,FA,6520,842,273.8
_,SH,700×300,SH-700x300x16x32x18,700,300,16,32,18,296.5,233,251000,14400,29.1,6.97,7180,962,8.06,5.88,8120,1480,16,32,7.79,FA,FA,7180,962,296.5,5.63,FC,FA,7180,962,296.5,5.16,FD,FA,7180,962,296.5
_,SH,700×300,SH-700x300x16x36x18,700,300,16,36,18,319.3,251,274000,16200,29.3,7.13,7830,1080,8.14,5.28,8830,1660,16,36,8.76,FA,FA,7830,1080,319.3,6.34,FC,FA,7830,1080,319.3,,,,,,
_,SH,700×350,SH-700x350x12x22x18,700,350,12,22,18,235.5,185,208000,15700,29.7,8.17,5950,899,9.36,8.51,6600,1370,12,22,6.25,FD,FA,5950,899,230.1,4.52,FD,FB,5950,899,219.8,4.14,FD,FC,5950,899,217.3
_,SH,700×350,SH-700x350x12x25x18,700,350,12,25,18,255.8,201,230000,17900,30,8.36,6560,1020,9.46,7.57,7260,1560,12,25,7.1,FD,FA,6560,1020,251.1,5.13,FD,FB,6560,1020,240.8,4.7,FD,FC,6560,1020,238.3
_,SH,700×350,SH-700x350x14x22x18,700,350,14,22,18,248.6,195,213000,15700,29.3,7.96,6080,899,9.26,8.42,6820,1380,14,22,6.25,FC,FA,6080,899,248.6,4.52,FD,FB,6080,899,241.7,4.14,FD,FB,6080,899,238.3
_,SH,700×350,SH-700x350x14x25x18,700,350,14,25,18,268.8,211,234000,17900,29.5,8.16,6700,1020,9.37,7.5,7470,1570,14,25,7.1,FC,FA,6700,1020,268.8,5.13,FD,FA,6700,1020,262.7,4.7,FD,FA,6700,1020,259.3
_,SH,700×350,SH-700x350x14x28x18,700,350,14,28,18,288.9,227,255000,20000,29.7,8.33,7300,1140,9.46,6.76,8130,1750,14,28,7.95,FC,FA,7300,1140,288.9,5.75,FD,FA,7300,1140,283.7,5.26,FD,FA,7300,1140,280.3
_,SH,700×350,SH-700x350x14x32x18,700,350,14,32,18,315.8,248,283000,22900,29.9,8.51,8080,1310,9.56,5.97,8980,1990,14,32,9.09,FC,FA,8080,1310,315.8,6.57,FD,FA,8080,1310,311.7,,,,,,
_,SH,700×350,SH-700x350x16x25x18,700,350,16,25,18,281.8,221,239000,17900,29.1,7.97,6830,1020,9.29,7.43,7690,1580,16,25,7.1,FA,FA,6830,1020,281.8,5.13,FC,FA,6830,1020,281.8,4.7,FD,FA,6830,1020,281.8
_,SH,700×350,SH-700x350x16x28x18,700,350,16,28,18,301.8,237,260000,20000,29.3,8.15,7420,1140,9.39,6.71,8330,1760,16,28,7.95,FA,FA,7420,1140,301.8,5.75,FC,FA,7420,1140,301.8,5.26,FD,FA,7420,1140,301.8
_,SH,700×350,SH-700x350x16x32x18,700,350,16,32,18,328.5,258,287000,22900,29.6,8.35,8200,1310,9.49,5.93,9190,2000,16,32,9.09,FA,FA,8200,1310,328.5,6.57,FC,FA,8200,1310,328.5,6.02,FD,FA,8200,1310,328.5
_,SH,700×350,SH-700x350x16x36x18,700,350,16,36,18,355.3,279,314000,25800,18.3,8.51,8960,1470,9.58,5.32,10000,2250,16,36,10.2,FA,FA,8960,1470,355.3,7.39,FC,FA,8960,1470,355.3,,,,,,
_,SH,750×250,SH-750x250x12x16x18,750,250,12,16,18,168.9,133,148000,4180,29.6,4.97,3950,334,6.19,11.6,4580,529,12,16,3.03,FD,FA,3950,334,156.1,2.19,FD,FC,3950,334,145.8,,,,,,
_,SH,750×250,SH-750x250x12x19x18,750,250,12,19,18,183.2,144,166000,4960,30.1,5.2,4440,397,6.34,10,5090,622,12,19,3.6,FD,FA,4440,397,171.1,2.6,FD,FC,4440,397,160.8,,,,,,
_,SH,750×250,SH-750x250x12x22x18,750,250,12,22,18,197.5,155,184000,5740,30.6,5.39,4920,459,6.46,8.81,5600,716,12,22,4.17,FD,FA,4920,459,186.1,3.01,FD,FC,4920,459,175.8,2.76,FD,FD,4920,459,173.3
_,SH,750×250,SH-750x250x12x25x18,750,250,12,25,18,211.8,166,202000,6520,30.9,5.55,5390,522,6.55,7.86,6100,809,12,25,4.73,FD,FA,5390,522,201.1,3.42,FD,FC,5390,522,190.8,,,,,,
*,SH,750×250,SH-750x250x14x19x18,750,250,14,19,18,197.5,155,172000,4970,29.6,5.02,4600,397,6.24,9.85,5340,632,14,19,3.6,FD,FA,4600,397,196.8,2.6,FD,FA,4600,397,182.7,,,,,,
_,SH,750×250,SH-750x250x14x22x18,750,250,14,22,18,211.6,166,190000,5750,30,5.21,5070,460,6.37,8.68,5850,725,14,22,4.17,FD,FA,5070,460,211.6,3.01,FD,FA,5070,460,197.7,2.76,FD,FB,5070,460,194.3
_,SH,750×250,SH-750x250x14x25x18,750,250,14,25,18,225.8,177,208000,6530,30.3,5.38,5540,522,6.47,7.76,6340,819,14,25,4.73,FD,FA,5540,522,225.8,3.42,FD,FA,5540,522,212.7,3.13,FD,FB,5540,522,209.3
_,SH,750×250,SH-750x250x14x28x18,750,250,14,28,18,239.9,188,225000,7310,30.6,5.52,5990,585,6.55,7.02,6840,912,14,28,5.3,FD,FA,5990,585,239.9,3.83,FD,FA,5990,585,227.7,,,,,,
_,SH,750×300,SH-750x300x14x19x18,750,300,14,19,18,216.5,170,198000,8570,30.2,6.29,5280,571,7.64,10.1,6040,893,14,19,4.32,FD,FA,5280,571,215.8,3.12,FD,FB,5280,571,201.7,,,,,,
_,SH,750×300,SH-750x300x14x22x18,750,300,14,22,18,233.6,183,219000,9920,30.6,6.52,5850,661,7.78,8.84,6650,1030,14,22,5,FD,FA,5850,661,233.6,3.61,FD,FA,5850,661,219.7,3.31,FD,FB,5850,661,216.3
_,SH,750×300,SH-750x300x14x25x18,750,300,14,25,18,250.8,197,241000,11300,31,6.7,6410,751,7.89,7.89,7250,1160,14,25,5.68,FD,FA,6410,751,250.8,4.11,FD,FA,6410,751,237.7,3.76,FD,FB,6410,751,234.3
_,SH,750×300,SH-750x300x14x28x18,750,300,14,28,18,267.9,210,261000,12600,31.2,6.86,6970,841,7.98,7.13,7850,1300,14,28,6.36,FD,FA,6970,841,267.9,4.6,FD,FA,6970,841,255.7,,,,,,
_,SH,750×300,SH-750x300x16x22x18,750,300,16,22,18,247.7,194,225000,9930,30.2,6.33,6010,662,7.69,8.74,6900,1040,16,22,5,FB,FA,6010,662,247.7,3.61,FD,FA,6010,662,244.9,3.31,FD,FA,6010,662,240.4
_,SH,750×300,SH-750x300x16x25x18,750,300,16,25,18,264.8,208,246000,11300,30.5,6.53,6570,752,7.81,7.81,7490,1170,16,25,5.68,FB,FA,6570,752,264.8,4.11,FD,FA,6570,752,262.9,3.76,FD,FA,6570,752,258.4
_,SH,750×300,SH-750x300x16x28x18,750,300,16,28,18,281.8,221,267000,12600,30.8,6.69,7120,842,7.9,7.06,8090,1310,16,28,6.36,FB,FA,7120,842,281.8,4.6,FD,FA,7120,842,280.9,4.21,FD,FA,7120,842,276.4
_,SH,750×300,SH-750x300x16x32x18,750,300,16,32,18,304.5,239,294000,14400,31.1,6.88,7840,962,8.01,6.26,8870,1490,16,32,7.27,FA,FA,7840,962,304.5,5.26,FD,FA,7840,962,304.5,,,,,,
*,SH,750×350,SH-750x350x14x22x18,750,350,14,22,18,255.6,201,249000,15700,31.2,7.85,6630,899,9.21,8.97,7450,1390,14,22,5.83,FD,FA,6630,899,255.6,4.22,FD,FB,6630,899,241.7,3.86,FD,FB,6630,899,238.3
_,SH,750×350,SH-750x350x14x25x18,750,350,14,25,18,275.8,217,273000,17900,31.5,8.05,7290,1020,9.32,7.99,8150,1570,14,25,6.63,FD,FA,7290,1020,275.8,4.79,FD,FA,7290,1020,262.7,4.39,FD,FB,7290,1020,259.3
_,SH,750×350,SH-750x350x14x28x18,750,350,14,28,18,295.9,232,298000,20000,31.7,8.23,7940,1140,9.41,7.2,8860,1750,14,28,7.42,FD,FA,7940,1140,295.9,5.37,FD,FA,7940,1140,283.7,4.91,FD,FB,7940,1140,280.3
_,SH,750×350,SH-750x350x14x32x18,750,350,14,32,18,322.8,253,330000,22900,32,8.42,8790,1310,9.51,6.37,9780,2000,14,32,8.48,FD,FA,8790,1310,322.8,6.13,FD,FA,8790,1310,311.7,5.62,FD,FB,8790,1310,308.3
_,SH,750×350,SH-750x350x16x25x18,750,350,16,25,18,289.8,227,279000,17900,31,7.86,7440,1020,9.23,7.91,8400,1580,16,25,6.63,FB,FA,7440,1020,289.8,4.79,FD,FA,7440,1020,287.9,4.39,FD,FA,7440,1020,283.4
_,SH,750×350,SH-750x350x16x28x18,750,350,16,28,18,309.8,243,303000,20000,31.3,8.04,8090,1140,9.33,7.14,9100,1760,16,28,7.42,FB,FA,8090,1140,309.8,5.37,FD,FA,8090,1140,308.9,4.91,FD,FA,8090,1140,304.4
_,SH,750×350,SH-750x350x16x32x18,750,350,16,32,18,336.5,264,335000,22900,31.6,8.25,8940,1310,9.44,6.32,10000,2010,16,32,8.48,FA,FA,8940,1310,336.5,6.13,FD,FA,8940,1310,336.5,5.62,FD,FA,8940,1310,332.4
_,SH,750×350,SH-750x350x16x36x18,750,350,16,36,18,363.3,285,366000,25800,31.7,8.42,9760,1470,9.53,5.67,10900,2250,16,36,9.54,FA,FA,9760,1470,363.3,6.9,FD,FA,9760,1470,363.3,6.32,FD,FA,9760,1470,360.4
_,SH,800×250,SH-800x250x14x22x18,800,250,14,22,18,218.6,172,221000,5750,31.8,5.13,5520,460,6.31,9.18,6380,728,14,22,3.91,FD,FA,5520,460,211.8,2.82,FD,FB,5520,460,197.7,2.59,FD,FC,5520,460,194.3
_,SH,800×250,SH-800x250x14x25x18,800,250,14,25,18,232.8,183,241000,6530,32.2,5.3,6020,523,6.42,8.22,6920,821,14,25,4.44,FD,FA,6020,523,226.8,3.21,FD,FB,6020,523,212.7,2.94,FD,FC,6020,523,209.3
_,SH,800×250,SH-800x250x14x28x18,800,250,14,28,18,246.9,194,260000,7310,32.5,5.44,6510,585,6.51,7.44,7440,915,14,28,4.97,FD,FA,6510,585,241.8,3.59,FD,FB,6510,585,227.7,3.29,FD,FC,6510,585,224.3
_,SH,800×250,SH-800x250x16x22x18,800,250,16,22,18,233.7,183,228000,5760,31.2,4.96,5700,461,6.22,9.05,6670,739,16,22,3.91,FC,FA,5700,461,233.7,2.82,FD,FA,5700,461,222.9,2.59,FD,FA,5700,461,218.4
_,SH,800×250,SH-800x250x16x25x18,800,250,16,25,18,247.8,195,248000,6540,31.6,5.14,6200,523,6.34,8.11,7200,833,16,25,4.44,FC,FA,6200,523,247.8,3.21,FD,FA,6200,523,237.9,2.94,FD,FA,6200,523,233.4
_,SH,800×250,SH-800x250x16x28x18,800,250,16,28,18,261.8,206,267000,7320,32,5.29,6680,586,6.43,7.35,7720,926,16,28,4.97,FC,FA,6680,586,261.8,3.59,FD,FA,6680,586,252.9,3.29,FD,FA,6680,586,248.4
_,SH,800×250,SH-800x250x16x32x18,800,250,16,32,18,280.5,220,293000,8360,32.3,5.46,7320,669,6.54,6.54,8410,1050,16,32,5.68,FC,FA,7320,669,280.5,4.11,FD,FA,7320,669,272.9,3.76,FD,FA,7320,669,268.4
_,SH,800×300,SH-800x300x14x22x18,800,300,14,22,18,240.6,189,254000,9920,32.5,6.42,6350,661,7.73,9.37,7240,1030,14,22,4.69,FD,FA,6350,661,233.8,3.39,FD,FB,6350,661,219.7,3.1,FD,FC,6350,661,216.3
_,SH,800×300,SH-800x300x14x25x18,800,300,14,25,18,257.8,202,278000,11300,32.9,6.61,6960,751,7.84,8.36,7880,1160,14,25,5.33,FD,FA,6960,751,251.8,3.85,FD,FB,6960,751,237.7,3.53,FD,FC,6960,751,234.3
_,SH,800×300,SH-800x300x14x28x18,800,300,14,28,18,274.9,216,302000,12600,33.2,6.78,7560,841,7.93,7.56,8520,1300,14,28,5.96,FD,FA,7560,841,269.8,4.31,FD,FB,7560,841,255.7,3.95,FD,FC,7560,841,252.3
_,SH,800×300,SH-800x300x14x32x18,800,300,14,32,18,297.8,234,333000,14400,33.5,6.96,8340,961,8.04,6.7,9370,1480,14,32,6.82,FD,FA,8340,961,293.8,4.93,FD,FB,8340,961,279.7,,,,,,
_,SH,800×300,SH-800x300x16x22x18,800,300,16,22,18,255.7,201,261000,9930,32,6.23,6530,662,7.63,9.24,7520,1040,16,22,4.69,FC,FA,6530,662,255.7,3.39,FD,FA,6530,662,244.9,3.1,FD,FA,6530,662,240.4
_,SH,800×300,SH-800x300x16x25x18,800,300,16,25,18,272.8,214,285000,11300,32.3,6.43,7130,752,7.75,8.27,8170,1180,16,25,5.33,FC,FA,7130,752,272.8,3.85,FD,FA,7130,752,262.9,3.53,FD,FA,7130,752,258.4
