*,type,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2,lb(SN400),柱(SN400),梁(SN400),Zxe(SN400),Zye(SN400),Ae(SN400),lb(SN490),柱(SN490),梁(SN490),Zxe(SN490),Zye(SN490),Ae(SN490),lb(HBL-H355),柱(HBL-H355),梁(HBL-H355),Zxe(HBL-H355),Zye(HBL-H355),Ae(HBL-H355)
_,中幅,350×250,H-340x250x9x14x13,340,250,9,14,13,99.53,78.1,21200,3650,14.6,6.05,1250,292,6.79,6.6,1380,445,9,14,5.85,FA,FA,1250,292,99.53,4.23,FB,FB,1250,292,99.53,,,,,,
*,中幅,400×300,H-386x299x9x14x13,386,299,9,14,13,117.4,92.2,32900,6240,16.7,7.29,1700,417,8.14,7.5,1870,634,9,14,6.16,FB,FB,1700,417,117.4,4.45,FC,FC,1700,417,117.4,,,,,,
_,中幅,400×300,H-390x300x10x16x13,390,300,10,16,13,133.3,105,37900,7200,16.9,7.35,1940,480,8.19,6.66,2140,730,10,16,6.99,FA,FB,1940,480,133.3,5.06,FB,FC,1940,480,133.3,,,,,,
*,中幅,450×300,H-434x299x10x15x13,434,299,10,15,13,131.6,103,45500,6690,18.6,7.13,2090,447,8.07,7.81,2320,682,10,15,5.87,FB,FB,2090,447,131.6,4.24,FC,FC,2090,447,131.6,,,,,,
_,中幅,450×300,H-440x300x11x18x13,440,300,11,18,13,153.9,121,54700,8110,18.9,7.26,2490,540,8.16,6.65,2760,823,11,18,6.97,FA,FA,2490,540,153.9,5.04,FB,FB,2490,540,153.9,,,,,,
*,中幅,450×300,H-446x302x13x21x13,446,302,13,21,13,180.8,142,65000,9650,19,7.31,2920,639,8.24,5.79,3250,976,13,21,8.08,FA,FA,2920,639,180.8,5.84,FA,FA,2920,639,180.8,,,,,,
_,中幅,500×300,H-482x300x11x15x13,482,300,11,15,13,141.2,111,58300,6760,20.3,6.92,2420,450,7.99,8.56,2700,690,11,15,5.3,FB,FB,2420,450,141.2,3.83,FD,FC,2420,450,141.2,,,,,,
_,中幅,500×300,H-488x300x11x18x13,488,300,11,18,13,159.2,125,68900,8110,20.8,7.14,2820,540,8.1,7.32,3130,825,11,18,6.29,FA,FA,2820,540,159.2,4.55,FD,FB,2820,540,159.2,,,,,,
*,中幅,500×300,H-494x302x13x21x13,494,302,13,21,13,187.1,147,81700,9650,20.9,7.18,3310,639,8.18,6.37,3700,978,13,21,7.29,FA,FA,3310,639,187.1,5.27,FA,FA,3310,639,187.1,,,,,,
_,中幅,600×300,H-582x300x12x17x13,582,300,12,17,13,169.2,133,98900,7660,24.2,6.73,3400,511,7.9,9.01,3820,786,12,17,4.98,FC,FA,3400,511,169.2,3.6,FD,FB,3400,511,165.3,,,,,,
_,中幅,600×300,H-588x300x12x20x13,588,300,12,20,13,187.2,147,114000,9010,24.7,6.94,3890,601,8.01,7.85,4350,921,12,20,5.8,FC,FA,3890,601,187.2,4.19,FD,FA,3890,601,183.3,,,,,,
*,中幅,600×300,H-594x302x14x23x13,594,302,14,23,13,217.1,170,134000,10600,24.8,6.98,4500,700,8.08,6.91,5060,1080,14,23,6.64,FA,FA,4500,700,217.1,4.8,FC,FA,4500,700,217.1,,,,,,
_,中幅,700×300,H-692x300x13x20x18,692,300,13,20,18,207.5,163,168000,9020,28.5,6.59,4870,601,7.81,9.01,5500,930,13,20,4.93,FD,FA,4870,601,207.5,3.56,FD,FA,4870,601,196.4,,,,,,
_,中幅,700×300,H-700x300x13x24x18,700,300,13,24,18,231.5,182,197000,10800,29.2,6.83,5640,721,7.95,7.73,6340,1110,13,24,5.84,FD,FA,5640,721,231.5,4.23,FD,FA,5640,721,220.4,,,,,,
*,中幅,700×300,H-708x302x15x28x18,708,302,15,28,18,269.7,212,233000,12900,29.4,6.91,6590,853,8.04,6.73,7430,1320,15,28,6.78,FB,FA,6590,853,269.7,4.91,FD,FA,6590,853,269,,,,,,
_,中幅,800×300,H-792x300x14x22x18,792,300,14,22,18,239.5,188,248000,9920,32.2,6.44,6270,661,7.74,9.28,7140,1030,14,22,4.73,FD,FA,6270,661,233.8,3.42,FD,FB,6270,661,219.7,,,,,,
_,中幅,800×300,H-800x300x14x26x18,800,300,14,26,18,263.5,207,286000,11700,33,6.67,7160,781,7.87,8.08,8100,1210,14,26,5.54,FD,FA,7160,781,257.8,4,FD,FB,7160,781,243.7,,,,,,
*,中幅,800×300,H-808x302x16x30x18,808,302,16,30,18,303.7,238,334000,13800,33.2,6.74,8270,914,7.96,7.1,9390,1420,16,30,6.37,FC,FA,8270,914,303.7,4.61,FD,FA,8270,914,294.1,,,,,,
*,中幅,800×300,H-816x303x17x34x18,816,303,17,34,18,336,264,378000,15800,33.6,6.86,9270,1040,8.05,6.38,10500,1620,17,34,7.17,FB,FA,9270,1040,336,5.19,FD,FA,9270,1040,332.8,,,,,,
_,中幅,900×300,H-890x299x15x23x18,890,299,15,23,18,266.9,210,339000,10300,35.6,6.2,7610,687,7.59,9.83,8750,1080,15,23,4.39,FD,FA,7610,687,253.6,3.17,FD,FC,7610,687,237.5,,,,,,
