*,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2
FALSE,250×125,H-248x124x5x8x8,248,124,5,8,8,31.99,25.1,3450,255,10.4,2.82,278,41.1,3.27,8.19,312,63.2,5,8
FALSE,250×125,H-250x125x6x9x8,250,125,6,9,8,36.97,29,3960,294,10.4,2.82,317,47,3.3,7.33,358,72.7,6,9
FALSE,300×150,H-298x149x5.5x8x13,298,149,5.5,8,13,40.8,32,6320,442,12.4,3.29,424,59.3,3.85,9.61,475,91.8,5.5,8
FALSE,300×150,H-300x150x6.5x9x13,300,150,6.5,9,13,46.78,36.7,7210,508,12.4,3.29,481,67.7,3.87,8.61,542,105,6.5,9
FALSE,350×175,H-346x174x6x9x13,346,174,6,9,13,52.45,41.2,11000,791,14.5,3.88,638,91,4.53,10,712,140,6,9
FALSE,350×175,H-350x175x7x11x13,350,175,7,11,13,62.91,49.4,13500,984,14.6,3.96,771,112,4.6,8.35,864,173,7,11
TRUE,350×175,H-354x176x8x13x13,354,176,8,13,13,73.45,57.7,16000,1180,14.8,4.01,906,134,4.65,7.2,1020,208,8,13
FALSE,400×200,H-396x199x7x11x13,396,199,7,11,13,71.41,56.1,19800,1450,16.6,4.5,999,145,5.23,9.45,1110,223,7,11
FALSE,400×200,H-400x200x8x13x13,400,200,8,13,13,83.37,65.4,23500,1740,16.8,4.56,1170,174,5.29,8.13,1310,267,8,13
TRUE,400×200,H-404x201x9x15x13,404,201,9,15,13,95.41,74.9,27200,2030,16.9,4.62,1350,202,5.34,7.16,1510,312,9,15
TRUE,450×200,H-446x199x8x12x13,446,199,8,12,13,82.97,65.1,28100,1580,18.4,4.36,1260,159,5.16,9.64,1420,245,8,12
FALSE,450×200,H-450x200x9x14x13,450,200,9,14,13,95.43,74.9,32900,1870,18.6,4.43,1460,187,5.23,8.4,1650,290,9,14
TRUE,450×200,H-456x201x10x17x13,456,201,10,17,13,112,87.9,39800,2310,18.9,4.54,1750,229,5.31,7.09,1980,355,10,17
TRUE,500×200,H-496x199x9x14x13,496,199,9,14,13,99.29,77.9,40800,1840,20.3,4.31,1650,185,5.14,9.16,1870,288,9,14
FALSE,500×200,H-500x200x10x16x13,500,200,10,16,13,112.3,88.2,46800,2140,20.4,4.36,1870,214,5.2,8.13,2130,333,10,16
TRUE,500×200,H-506x201x11x19x13,506,201,11,19,13,129.3,102,55500,2580,20.7,4.46,2190,257,5.28,7,2500,399,11,19
TRUE,600×200,H-596x199x10x15x13,596,199,10,15,13,117.8,92.5,66600,1980,23.8,4.1,2240,199,5.03,10,2580,312,10,15
FALSE,600×200,H-600x200x11x17x13,600,200,11,17,13,131.7,103,75600,2270,24,4.16,2520,227,5.09,8.98,2900,358,11,17
TRUE,600×200,H-606x201x12x20x13,606,201,12,20,13,149.8,118,88300,2720,24.3,4.26,2910,270,5.17,7.8,3360,426,12,20
TRUE,600×200,H-612x202x13x23x13,612,202,13,23,13,168,132,101000,3170,24.6,4.35,3310,314,5.25,6.91,3820,495,13,23
FALSE,400×200,SH-400x200x9x12x13,400,200,9,12,13,83.29,65.4,22600,1600,16.5,4.39,1130,160,5.2,8.66,1280,249,9,12
FALSE,400×200,SH-400x200x9x16x13,400,200,9,16,13,98.57,77.4,27800,2140,16.8,4.66,1390,214,5.35,6.69,1560,329,9,16
FALSE,400×200,SH-400x200x9x19x13,400,200,9,19,13,110,86.4,31600,2540,17,4.8,1580,254,5.43,5.71,1770,388,9,19
FALSE,400×200,SH-400x200x9x22x13,400,200,9,22,13,121.5,95.4,35300,2940,17,4.92,1760,294,5.49,4.99,1970,448,9,22
FALSE,400×200,SH-400x200x12x16x13,400,200,12,16,13,109.6,86,29100,2140,16.3,4.42,1450,214,5.25,6.56,1660,335,12,16
FALSE,400×200,SH-400x200x12x19x13,400,200,12,19,13,120.9,94.9,32800,2540,16.5,4.58,1640,254,5.34,5.62,1870,394,12,19
FALSE,400×200,SH-400x200x12x22x13,400,200,12,22,13,132.2,104,36400,2940,16.6,4.72,1820,294,5.41,4.92,2070,454,12,22
FALSE,450×200,SH-450x200x9x12x13,450,200,9,12,13,87.79,68.9,29500,1600,18.3,4.27,1310,160,5.13,9.62,1490,250,9,12
FALSE,450×200,SH-450x200x9x16x13,450,200,9,16,13,103.1,80.9,36200,2140,18.8,4.55,1610,214,5.3,7.45,1810,330,9,16
FALSE,450×200,SH-450x200x9x19x13,450,200,9,19,13,114.5,89.9,41200,2540,19,4.71,1830,254,5.38,6.37,2050,389,9,19
FALSE,450×200,SH-450x200x9x22x13,450,200,9,22,13,126,98.9,45900,2940,19.1,4.83,2040,294,5.44,5.57,2280,449,9,22
FALSE,450×200,SH-450x200x12x16x13,450,200,12,16,13,115.6,90.7,38100,2140,18.1,4.3,1690,214,5.18,7.28,1940,336,12,16
FALSE,450×200,SH-450x200x12x19x13,450,200,12,19,13,126.9,99.6,42900,2540,18.4,4.47,1910,254,5.28,6.26,2180,396,12,19
FALSE,450×200,SH-450x200x12x22x13,450,200,12,22,13,138.2,108,47600,2940,18.6,4.61,2120,294,5.36,5.48,2410,456,12,22
FALSE,450×200,SH-450x200x12x25x13,450,200,12,25,13,149.5,117,52200,3340,18.7,4.73,2320,334,5.42,4.88,2630,516,12,25
FALSE,450×250,SH-450x250x9x12x13,450,250,9,12,13,99.79,78.3,35200,3130,18.8,5.6,1570,250,6.55,9.83,1750,385,9,12
FALSE,450×250,SH-450x250x9x16x13,450,250,9,16,13,119.1,93.5,43800,4170,19.2,5.92,1950,334,6.73,7.57,2160,510,9,16
FALSE,450×250,SH-450x250x9x19x13,450,250,9,19,13,133.5,105,50000,4950,19.3,6.09,2220,396,6.82,6.46,2460,603,9,19
FALSE,450×250,SH-450x250x9x22x13,450,250,9,22,13,148,116,56000,5730,19.5,6.22,2490,459,6.88,5.63,2750,697,9,22
TRUE,450×250,SH-450x250x12x16x13,450,250,12,16,13,131.6,103,45600,4170,18.6,5.63,2030,334,6.6,7.43,2290,516,12,16
FALSE,450×250,SH-450x250x12x19x13,450,250,12,19,13,145.9,115,51700,4960,18.8,5.83,2300,396,6.71,6.36,2590,610,12,19
FALSE,450×250,SH-450x250x12x22x13,450,250,12,22,13,160.2,126,57700,5740,19,5.98,2560,459,6.79,5.56,2880,703,12,22
FALSE,450×250,SH-450x250x12x25x13,450,250,12,25,13,174.5,137,63500,6520,19.1,6.11,2820,521,6.86,4.94,3160,797,12,25
FALSE,450×250,SH-450x250x12x28x13,450,250,12,28,13,188.7,148,69100,7300,19.1,6.22,3070,584,6.91,4.44,3450,890,12,28
FALSE,500×200,SH-500x200x9x12x13,500,200,9,12,13,92.29,72.4,37500,1600,20.2,4.17,1500,160,5.07,10.6,1720,251,9,12
FALSE,500×200,SH-500x200x9x16x13,500,200,9,16,13,107.6,84.5,46000,2140,20.7,4.46,1840,214,5.25,8.2,2080,331,9,16
FALSE,500×200,SH-500x200x9x19x13,500,200,9,19,13,119,93.4,52100,2540,20.9,4.62,2090,254,5.34,7.02,2340,390,9,19
FALSE,500×200,SH-500x200x9x22x13,500,200,9,22,13,130.5,102,58100,2940,21.1,4.74,2330,294,5.4,6.14,2600,450,9,22
FALSE,500×200,SH-500x200x12x16x13,500,200,12,16,13,121.6,95.5,48500,2140,20,4.2,1940,214,5.12,7.99,2240,338,12,16
FALSE,500×200,SH-500x200x12x19x13,500,200,12,19,13,132.9,104,54600,2540,20.3,4.37,2180,254,5.23,6.88,2500,398,12,19
FALSE,500×200,SH-500x200x12x22x13,500,200,12,22,13,144.2,113,60500,2940,20.5,4.52,2420,294,5.31,6.03,2760,458,12,22
FALSE,500×200,SH-500x200x12x25x13,500,200,12,25,13,155.5,122,66300,3340,20.6,4.64,2650,334,5.38,5.38,3010,517,12,25
FALSE,500×250,SH-500x250x9x12x13,500,250,9,12,13,104.3,81.9,44600,3130,20.7,5.48,1780,250,6.49,10.8,2010,386,9,12
FALSE,500×250,SH-500x250x9x16x13,500,250,9,16,13,123.6,97,55300,4170,21.2,5.81,2210,334,6.67,8.34,2460,511,9,16
FALSE,500×250,SH-500x250x9x19x13,500,250,9,19,13,138,108,63100,4950,21.4,5.99,2530,396,6.77,7.13,2800,604,9,19
FALSE,500×250,SH-500x250x9x22x13,500,250,9,22,13,152.5,120,70700,5730,21.5,6.13,2830,459,6.84,6.22,3130,698,9,22
FALSE,500×250,SH-500x250x12x16x13,500,250,12,16,13,137.6,108,57900,4170,20.5,5.51,2320,334,6.54,8.17,2630,518,12,16
FALSE,500×250,SH-500x250x12x19x13,500,250,12,19,13,151.9,119,65600,4960,20.8,5.71,2620,396,6.65,7,2960,612,12,19
FALSE,500×250,SH-500x250x12x22x13,500,250,12,22,13,166.2,130,73100,5740,21,5.88,2920,459,6.74,6.13,3290,705,12,22
FALSE,500×250,SH-500x250x12x25x13,500,250,12,25,13,180.5,142,80400,6520,21.1,6.01,3220,521,6.81,5.45,3610,799,12,25
FALSE,500×250,SH-500x250x12x28x13,500,250,12,28,13,194.7,153,87500,7300,21.2,6.12,3500,584,6.87,4.9,3930,892,12,28
FALSE,500×300,SH-500x300x9x16x13,500,300,9,16,13,139.6,110,64700,7200,21.5,7.18,2590,480,8.11,8.45,2850,731,9,16
FALSE,500×300,SH-500x300x9x19x13,500,300,9,19,13,157,123,74100,8550,21.7,7.38,2960,570,8.2,7.2,3260,865,9,19
FALSE,500×300,SH-500x300x12x16x13,500,300,12,16,13,153.6,121,67300,7210,20.9,6.85,2690,481,7.96,8.29,3010,738,12,16
FALSE,500×300,SH-500x300x12x19x13,500,300,12,19,13,170.9,134,76600,8560,21.2,7.08,3060,571,8.08,7.09,3420,873,12,19
FALSE,500×300,SH-500x300x12x22x13,500,300,12,22,13,188.2,148,85700,9910,21.3,7.26,3430,661,8.18,6.19,3810,1010,12,22
FALSE,500×300,SH-500x300x12x25x13,500,300,12,25,13,205.5,161,94500,11300,21.4,7.4,3780,751,8.25,5.5,4200,1140,12,25
FALSE,500×300,SH-500x300x12x28x13,500,300,12,28,13,222.7,175,103000,12600,21.5,7.52,4130,841,8.3,4.94,4590,1280,12,28
FALSE,500×300,SH-500x300x14x19x13,500,300,14,19,13,180.1,141,78200,8560,20.8,6.89,3130,571,8.01,7.02,3520,879,14,19
FALSE,500×300,SH-500x300x14x22x13,500,300,14,22,13,197.3,155,87.3,9910,21,7.09,3490,661,8.11,6.14,3920,1010,14,22
FALSE,500×300,SH-500x300x14x25x13,500,300,14,25,13,214.5,168,96000,11300,21.2,7.25,3840,751,8.19,5.46,4300,1150,14,25
